9/27/2021, 1:01:54 PM|Node Api Application|info|Success Authorization token generate :eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJkYXRhIjoibmV2ZXJtb3JlIiwiaWF0IjoxNjMyNzY1NzE0LCJleHAiOjE2MzI3NjkzMTR9.mV9lVNRZNrnBN8lFqHjJ_uM65YB94tUkrSbqOHhcJuE
9/27/2021, 2:39:13 PM|NodeJS Integration PM|info|Success Authentication ORM sequelize
9/27/2021, 2:39:14 PM|NodeJS Integration PM|info|Success Sync ORM Sequelize
9/27/2021, 4:23:56 PM|NodeJS Integration PM|info|Success Authentication ORM sequelize
9/27/2021, 4:23:56 PM|NodeJS Integration PM|info|Success Sync ORM Sequelize
9/27/2021, 4:42:41 PM|NodeJS Integration PM|info|Success Authentication ORM sequelize
9/27/2021, 4:42:41 PM|NodeJS Integration PM|info|Success Sync ORM Sequelize
9/27/2021, 4:43:54 PM|NodeJS Integration PM|info|Success Authentication ORM sequelize
9/27/2021, 4:43:54 PM|NodeJS Integration PM|info|Success Sync ORM Sequelize
9/27/2021, 4:56:29 PM|NodeJS Integration PM|info|Success Authentication ORM sequelize
9/27/2021, 4:56:29 PM|NodeJS Integration PM|info|Success Sync ORM Sequelize
9/27/2021, 4:58:56 PM|NodeJS Integration PM|info|Success Authentication ORM sequelize
9/27/2021, 4:58:56 PM|NodeJS Integration PM|info|Success Sync ORM Sequelize
